"","review_dataset.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"41"," ordered   months ago   finally   back order  huge disappointment  fit wasn     issue    quality   wool  subpar   mentioned  quot felted woolquot  guess     call     literally feel  felt super thin itchy doesn  drape    feels cheap made  china     sale    worth   paid   back",0,1,2,0,1,1,2,1,2,2
"42","    neat dress  color  great   fabric  super soft   tall   long length   added bonus     underneath   front gaps     pair    funky tank top necklaces  boots super cute",0,3,0,0,1,0,1,1,0,3
"43","wouldnt            store   whim love love",0,2,0,0,2,0,1,0,1,2
"44"," ordered    small     size   medium   mom   size     gorgeous  beautifully draped   weightwarmth ill   houston fall  winter  polished snapped  unsnapped ageappropriate    mom       amazing  skinny jeans  leggings  ordered  gray   true   photos",1,0,2,1,1,3,0,0,3,2
"45"," poncho   cute  love  plaid check design  colors   sorbet  cream    pair    turtleneck  jeans  pencil skirt  heels  love    fall    roll   spring great buy",0,1,0,0,2,1,1,0,1,3
"46","   thermal  naturally  didnt expect super sheer     sheer light fabric      prepared      run    walk   house      large  ordered  size     nice oversized fit     pounds  wouldnt    larger    sheer  fabric  easily stretched   dont mind   case finally  color   white   monitor  shows  colorful blue dot",0,4,2,1,2,2,3,5,1,4
"47","   today   local retailer         comfortable  flattering   bad  picture online   model tucking    skirt      ruching   front   dressier alternative   plain tee   priced  retailer    generally wear    small fit     back   black",1,0,1,1,1,2,0,1,4,2
"48"," bought  item  online  fit   model looked   loose     mine    bit tight     back   store  ordered  larger size   sale price    great top",0,2,1,0,0,0,1,2,0,3
"49"," sweater  perfect  fallits roomy warm super comfy   color  pops",0,1,0,0,1,0,0,1,0,1
"50"," cute top  embroidery   collar  bib   top  beautiful  unique received lots  compliments  questions      im  busty  top   medium fit   small  wouldve fit     super adorable",0,1,0,0,2,0,1,1,1,6
"51","   cute top   transition easily  summer  fall  fits  nice print   comfortable       store    purchase    color washed        color   blonde       brunette       color      purchased ",1,2,0,0,0,1,0,1,2,3
"52"," absolutely love  bib tee    favorite retailer purchase   time im   pounds   small   perfect fit    typically wear      tops",0,2,0,0,3,0,0,3,2,3
"53"," soft  comfortable  shirt   unusual asymmetrical seam  appears   front righthand side   garment  model  positioned       detail   picture  attached  picture  includes  front seam     seam   creates  visual interest  adds   bit  ruching  helps hide  belly  cowl neck         layers  form  cowl  ive found   means wardrobe malfun",0,0,0,1,1,0,0,1,0,3
"54","nice top armholes   bit oversized    older woman im picky    print  pretty  unusual   didnt  great     slight peplum   back  hangs nicely   lightweight tee fabric  opaque       black bra   barely visible great  warmer climates      gorgeous tops     decided  return  summer  winding    recommend",0,2,0,0,2,2,0,3,2,4
"55","   adorable top   find   extremely comfortable  dont  buy prints      feminine   great  dark wash jeans       medium   perfect fit",0,2,0,0,2,1,0,2,0,3
"56","ive    bralettes  provide  support   bindingtight  night time  casual wear    light weight bra      supportive pretty color  nice lines  downside   retailer tag   back  itchy    remove ",1,3,1,3,2,2,1,4,3,3
"57"," dress  simply beautiful  stunning    figure flattering    wait  wear  size small worked     im tall  fell    ankle   perfect       happier   purchase   keyhole   back   beautiful detail",0,2,0,0,3,1,0,2,4,3
"58"," tags sewn   small   long   huge      itchy   cut     thread left   plasticy    itchy    make  intimates item   itchy tags  comfortable      love bralettes  wear    time including  work     cup      thin  flimsy     support     cup          lounging bralette    wasnt  itchy",0,2,0,0,1,0,0,1,2,2
"59"," recently    sale     forever    list im  happy     comfortable   long    torso   pattern   front   flattering",0,2,0,0,2,0,0,1,0,2
"60"," comfortable shirt light weight top  lovely floral colors great  springsummer  white jeans love   september makes",0,4,1,1,4,2,2,4,1,6
"61","loved  top    happy  find   sale",0,2,0,0,1,0,0,2,0,2
"62"," received    mail      smitten im      im  xl   stretch  retailer tops  bought      im  glad    flowy stretchy  comfortable   bought  meda lace top   september     similar expect      tshirt        blouse     couldve          lot  extra fabric   chest      issue  ",1,4,0,1,1,1,1,3,1,7
"63","love  top   eyeing  online  wavering  size   postbaby body    wonky     xsp  miraculously  works perfectly       run    large  love  length       petite sizes  retailer     longer lengths   regular    perfect      give  top    lovely     soft  comfortable     goto top  season",0,3,0,0,3,1,1,3,0,4
"64","  loved  top online  wanted  love   person   soft   patter    person  neckline  higher          buttons   back    unbuttoned  order  wear  top   difficult  button    neck   top      return  item",1,1,0,1,1,0,0,2,2,2
"65","  wanted   work alas    strange fit    straps   stay      weird fit   breast  worked standing    minute  sat   fell   shoulders  fabric  beautiful   loved    pockets",0,0,1,0,1,1,0,0,2,2
"66"," top   cute    massively babydoll shaped  line    apparent   pictures  measured  xs     chest     sweep         top   hung straighter  craftsmanship  lovely  fabric   natural  handwoven  im thinking    tailor      sides     ruin    fabric layout  cut  proportioned   swing style",0,2,0,1,1,2,1,3,1,4
"67","   drawn  baby doll  boxy shirts   immediately      store   petite      shirts   lot  fabric swallow        cute    lot  fabric   picture lets        super cute  flattering    check  size chart  read comments        size description  recommended  specific size   body type   petite  weigh   lbs",0,3,0,0,3,0,0,2,1,5
"68","   loved  dress   bust  waist      fitted      top   big fit perfectly  hips  lace material means    easily altered   chose  return  dress            fit",1,1,0,1,0,1,0,2,1,2
"69"," zipper broke   piece   time  wore   disappointing   love  design im      replace  zipper    stronger  annoying     ",1,1,0,1,1,2,0,0,3,1
"70","  size    brand small  perfect    lbs  top   luxurious  casual feel  beautiful   obsessed    wear  everyday  wears   long  drapey    tight   rolls    arms",0,3,0,0,3,0,0,3,2,4
"71"," dress  adorable    perfect casual   summer   quality  nice   lining   overpriced   opinion  tie detail   adjustable   found  normal size   fit fine         fact   dry cleantotally doesnt make sense   dress   essentially  fancy tshirt  summer   bring  back      originally planned  wear   lot ",1,2,1,0,4,1,0,4,2,5
"72","    petite     dress     petites       fit im  lbs  dress hit rt  knee    hemmed   bit    overwhelming",1,0,0,0,0,0,0,0,1,1
"73","",0,0,0,0,0,0,0,0,0,0
"74"," dress  stunning  great vibrant color    dark hair makes  classic elegant dress  contemporary  stylish       store salesperson    happen      raved  told   grab      glad",1,3,0,0,2,1,0,0,1,4
"75","",0,0,0,0,0,0,0,0,0,0
"76"," plan  wear   spring   daughte",0,1,0,0,0,0,0,1,1,0
"77"," purchased  top   antro store  week  quality  wonderful   greenish blue color   unique  blouse   beautiful stretchy camsiole   attached   shoulders    removed  snaps  tooks great  worn   ways  wore    campole    peeks   blouse   bottom    great   camisole  worn            petite size    touch big   shoulders  neckli",0,2,0,0,2,3,2,2,2,5
"78","      sale section            surprisingly  size    fit   fitted    room  eat  ",0,1,0,0,0,0,1,0,0,1
"79","te blue   light blue  neutral   white embroidery    looked stylish  decided     peplum part hit     spot   short petite   torso  normal size",1,2,0,0,1,1,0,2,1,1
"80"," debated        loose   model      tighten     lot  flattering     xs   store      decide    petite   looked huge   pinched  back    xxs  work    lot  fabric  looser didnt   good       dress    recommend       looser    great    order eptite    lbs  dd che",1,2,0,0,2,0,1,2,0,5
"81"," cute piece   huge  ordered  xxs petite     extremely wide   flattering returning",0,0,0,0,1,0,0,0,0,2
"82"," bought  top online   burnt orange color    excited          fit  fine    lackedsomething  back    bit  long  front    bit  short   lacked   tailored      gorgeous fabric  top      wanted     bought  velvet tunic   ",0,3,1,0,2,0,1,2,1,4
"83"," shirt caught  eye    beautiful    love  shape design    color  perfect  spring  summer   white pants   dont   possibilities   shirt   worn       doesnt work     jeans skirts  shorts   prefer items   versatility  outfits  im    fence  im              great quality shirt   beautiful",0,2,0,0,4,1,0,3,1,6
"84","purchased  top online    received    pleased",0,1,0,0,1,0,0,1,0,3
"85","   elegant cut     casual fabric",0,0,0,0,1,0,0,0,0,1
"86","love   sleeves run longerads    ",0,0,0,0,1,0,0,0,0,1
"87"," loved   necklineenhances  feel    style",0,0,0,0,0,0,0,0,0,0
"88","  necklaces  top  limitless options",0,1,0,0,0,0,0,1,0,1
"89"," color states mosswhich      greenish browni found       taupe",0,0,0,0,1,0,0,1,0,1
"90","       green tones      fantastic ",0,0,0,0,1,0,0,1,0,1
"91","     easy comfortable tops  everyday wear  bought  top     cute buttons   received   looked       picture online   buttons  slipping    homes   holes  slightly  big  shirt fit     tad snug   upper arms   stretch  loosen    day    comfortable shirt   felt    pajama top   back",0,1,0,0,0,0,0,2,1,3
"92","   wasnt     neckline   lower  wavy   thought   wearing     comfortable  stretches  lot   wear  cami underneath    lean forward im  showing  world  torso",0,1,0,0,0,1,0,1,2,1
"93"," find   brand     bit allovertheplace  sizes       person    bought    small        bit big    great  hides  flaws   bought     shirt    seamed scoop neck   shirt   full  inches smaller   bust        mind   great shirt love  neutral color",0,1,0,0,1,0,0,1,1,2
"94"," bought  lovely silkvelvet shirt   quot skyquot  color       teal blue side  sky blue  disappointed     darker  appears  photo   luxurious wellmade beauty  sassy appeal  drapes   snake slithering   body    attitude",1,2,2,1,3,3,1,1,2,4
"95","  excited  order  beautiful shirt    color sky  gorgeous     reviewer saidit runs small       short   sadly    returning    gave   stars    beautiful  great qualityit  didnt fit ",0,1,0,0,3,1,1,1,2,4
"96"," ordered ivory  xl   brand   run tight  youre  endowed   beautiful color   love  contrasting plaid lining  inside   collar  cuffs havent decided  keeping     oversized  cozy    long   touches  top   knees  back sooooo pretty ",0,3,0,0,3,0,0,2,0,5
"97","   thin  poor quality    price  felt   thin pajama top  buttons  terrible  shell buttons      returned faster",2,1,1,2,0,2,1,1,2,1
"98"," didnt end  keeping  dressit  wasnt       cute  fit    fabric   thin partially lined       hem line coming    sides made    short    ordered  petite xs    length  front  back    side slitvent    high   liking  tie part hit   perfect spot        guess   didnt love     save  funds    ca",1,2,0,0,4,0,1,3,1,5
"99"," read   review    ordered   small   medium   thought   run small    totally disagree   reviewer  find   top runs true  size   generous  sky color   pretty   top   dressed    nice heels   necklace     comfy casual   wear  small  hh brand     true  fit  broad shoulders  lb",1,3,0,0,2,0,0,4,3,4
"100"," dress  comfortable  stylish    time  runs true  size im   lbs    xs petite wore        hours     compliments  ",0,1,0,0,0,0,0,0,0,0
"101"," designshape   dress   flattering flirty  feminine        dress  received    color   faded washed  red    black stains    belt area    tag  fabric  droopy  laundered    crisp stiff      disappointed   quality   item   received undoubtedly     back",2,0,1,1,1,2,0,1,5,2
"102","",0,0,0,0,0,0,0,0,0,0
"103","dear retailer   make      send preowend clothing articles ",0,0,0,0,0,0,0,0,0,1
"104","  totally worked   love  color length  style",0,0,0,0,1,0,0,0,0,1
"105","prior reviewer nailed    summary   dress    heels im        size    wear  size      retailer stuff",0,0,0,0,0,0,0,1,1,0
"106"," reading  previous reviews  ordered  size larger    glad     fits perfectly   dd      regular  beautiful   wait  wear ",1,2,1,0,2,0,1,2,3,3
"107","   excited     top      bargain  neutral   shape   line  accentuates  hip area  bit    find flattering     returned",0,3,0,0,2,0,1,4,0,5
"108","  reviewers mentioned    dress  extremely  made      cons         work   petiteshorter frame   tall busty  curvier girls   sits wrong   places   color  lovely    nice collar  ties   back  made  dress stand ",0,1,0,0,1,1,1,1,1,1
"109","",0,0,0,0,0,0,0,0,0,0
"110"," im    found   armshoulder part  large  bulky   made   bigger  top   entirel",0,1,0,0,1,0,0,2,0,2
"111","  fit doesnt wow     body chest   wide hips   narrow drapes   back fat    nonflattering  basically made  squareapple body   squareapple great part   dress    comfy  hides  tummy pooch construction  poorly donecontrasting liner  vneck  rolling    side         hem contralaterally  negative point  dry clean  boo im    ",0,0,1,0,1,2,0,1,4,1
"112","  retailer   hung    pj section        jammie top feel soft thin  stretchy  super cozy  comfortable   drapes  nice mine    stretched      neckline    buttons   hard time staying closed im happy          great casual day ",0,3,0,0,1,0,0,2,0,2
"113"," love  vest     ways  style itopen  tied closed   dress    tshirt  jeans   compliments  time  wear   soft  light   add interest   outfit    heavyhot  wear  day",0,1,0,0,1,0,0,1,1,2
"114","love  vest  color     brown   picture    isits  deep forest green   great  jeans  black pants  great piece  polished  casual style   fabric   nice soft suedelike finish",0,0,0,0,2,1,0,1,1,3
"115","",0,0,0,0,0,0,0,0,0,0
"116","    slightly higher  hit  true natural waist      star    wear petite sizes      issue herestill  good tied",1,2,0,0,2,0,1,3,2,2
"117"," received  sky color   online   definetly keeping     beautiful       made     wide   long        totally size         height     short    crop tops  waist hitting tops  lot    shortness        shrunk   dryer",0,1,0,0,1,0,0,0,1,3
"118","  obsessed  peplum  coats         shape   extremely unflattering   excited    arrive    nice     feminine     coats    coat  runs  true   shirt size        coat    returning    size       wear  sweater      thicker shirt     winter  fall  fabric  decent   weigh",0,3,0,0,1,1,1,3,2,3
"119"," silhouette  length   skirt  length  flattering classic  comfortable  colors  weight   skirt make  versatile    worn yearround  long     degrees      bit  weight       favorite pieces   closet   styled   ways pair   higherend tee tank denim jacket  bodyhugging sweater  sized ",0,2,1,1,3,2,1,2,2,4
"120","iim   big  lace     unique  versatile       good dressed  wa nice top  casual wa tee   worn practically  year love ",1,2,0,1,2,2,2,3,2,5
"121"," firned       comment       scratchy   didnt bother       beautiful     sensitive  scratchy material",0,0,0,0,1,0,0,0,1,1
"122","fit  true  size",0,0,0,0,0,0,0,0,0,0
"123"," stylist     top    shoulders    kind  snug    didnt fit       shoulders   picture  cut  loose   looked big     smaller    worked        give     xs  big       xxs  time    shoulders looked nice   lady   smaller built   ",0,2,0,0,1,0,0,2,0,2
"124","",0,0,0,0,0,0,0,0,0,0
"125","colors  nice light    fall  summer light fabri",0,0,0,0,0,1,0,0,1,0
"126"," reviewers found  skirt     smaller side      big  bad  smaller size  sold    peittes  sold   length   pretty long   knee    narrow part stillso      colors  great  brought    store     front fo  stylists adn   loved   told     winner  ",1,4,1,1,3,1,1,2,1,4
"127"," purchased  skirt  retailer store  texas  fell  love      fabric  nice   colors  pretty  cheerful   springsummer     pockets   sides dont  love pockets  practical  lightweight",0,2,0,0,3,1,1,1,1,4
"128","    pretty skirt   colors    real life sizing   true  size   slightly tight   waist     thicker waist compared   hips im     ordered  size    size      retailer pencil skirts      fit      waist  didnt    big   hips length  perfect   knees",0,2,0,0,2,0,0,3,0,3
"129"," skirt  wonderful  price point   bit high   average office gal   quality  impeccable   enjoy      mirror  wearing  skirt    dressed  dressed  worn   seasons  designpattern  artsy  whimsical    outthere          fit  true  size   delicate details   lovely",0,2,0,0,4,2,2,4,1,4
"130","  reviewers noted  pics dont   skirt justice    beautiful   intricate lace pattern  rich colors  wait  wear   work",1,1,0,1,1,1,0,3,3,4
"131","love  skirt  detail  amazing runs small  ordered   im        snug",0,0,0,0,1,0,0,0,1,1
"132"," keeping    fabric   bit tackylooking  person  cut  odd      fit  fine    snaps    neckline flat  shaped  colors   shown     good length falls  top  hip  simply      metallic  ",0,2,0,0,1,0,1,2,0,2
"133"," top     aps tops   stitched material   uncomfortable    large bust     divulging   prompt   wear  underneath   modest  change  shape   top",0,1,0,1,0,0,0,3,2,3
"134"," love  metallic colors   top  figured   wear    ruched jacket  circle skirt  work welp    window  design  poor       piece   petite woman   torso   dont      longer torso wears    hits   belly botton     apetite     torso    jacket    wear    low cutthe back   lowits   loose   run      ",0,1,0,0,1,0,0,2,1,2
"135"," top      person    agree      reviews   fabric  scratchy       sensitive skin  love  top    lots  compliments",0,1,0,0,1,0,0,1,0,3
"136","  disappointed      limiting   mention  suit  australian  size  ordered   im       sold    suit arrives  doesnt  fir   hips   label    australian    gutted     return  suit    sizing issue   suit     made   design  adorable    ",1,0,1,0,1,1,0,1,1,1
"137","   top online  read  reviews   passed      store       thought   give     glad     fits great     prettier  person   ended  buying    glad   ",1,4,0,0,1,0,0,1,1,3
"138","    pretty top  vibrant metallic colors    perfect   holiday party     dinner  wasnt  scratchy   thought    based   reviews   ran   big im     pounds     wear  size       big id recommend sizing     lower cut   thought   beshowed  lot  cleavage im      work  ",0,5,0,0,3,1,0,5,2,6
"139","love    beautiful coat     fits       perfect   shoulders    flares    bottom     clown costume    size     fit   shoulders    tailor  install buckles  match  neckline buckle   sides   coat  fold   flare    note  buckle   neckline feels  hard  fake     real leather",1,3,0,0,4,1,1,2,3,5
"140"," title   allthis fabric   top      worst part   design  colors  vibrant   combination  materials shoulder   knit sweaterlike navy fabric  interesting      positive comments end     top   scratchy stiff  frankly uncomfortable   imagine wanting  wear    benefit   lining     solved  problem  scratchy itchy fabric",0,1,0,1,0,2,0,4,5,5
"141","",0,0,0,0,0,0,0,0,0,0
"142"," stiff fabric   bo",0,0,0,0,0,0,0,0,1,0
"143"," usual size  fits perfectly   metallic fibers   inside  scratchy  cami solves  problem  ordering  realized  cld   strapless  wld   wear     wider strap camis  navy  black  cover  bra strap area   obvious  sort  coverup swtr  jacket wb needed  wld cover  strap area     ordered  fauxfur cardi   ivory  wear   top   shruglike cardi   slvs    plum   ",1,1,0,1,0,2,0,5,4,4
"144"," online picture     skirt justice   pretty  unique  design      worn   tighter shirt   tucked  unlike  picture     pretty pencil skirt",0,1,0,0,1,1,1,2,1,3
"145"," love  dresses  maeve      exception   pleasantly surprised  receiving  dress   wasnt    print size  colors     online   print  beautiful    simple  elegant style   ruffle   back adds  extra touch  interest       coverage   top front  back  underarms   fall  low    lined  aline skirt  flatter  body types  fabric   ",0,2,0,0,4,1,2,1,2,7
"146"," pants  fun     sleep pants    size    waist band    tight  comfort",0,2,0,0,2,0,0,1,0,2
"147"," ordered   xs im   lbs   fits perfectly  material   soft   seethrough   romper  wellmade       colours id buy ",1,0,0,0,0,0,0,0,1,0
"148"," purchased      sweats  wear   girls   weekend    comfortable  flattering friends told    wear    dinner",0,0,0,0,1,0,0,1,1,2
"149","",0,0,0,0,0,0,0,0,0,0
"150"," fabric  beautiful   loved    draped  angled cut   legs   cute    bit     perfect   hot summer evening dinner   fabric   light  breezy dress     tank top  ballet flats  youre good  ",1,3,0,0,3,0,1,3,0,7
"151","love  cream sleeveless topit       dress           top  summer long   wear   fall     layered sweater  needed  typically wear small  medium size    medium hoping    longer length       wt  approx  lbsit fits  nicely    retailer",1,3,0,0,2,1,1,2,4,3
"152"," skirt  beautiful   color    made     pear shaped   skirt    straight   flattering    agree   runs small     sized    wasnt flattering  imagine      bestowed  massive hips   lovely  ",0,1,0,0,3,1,1,1,1,4
"153","happy   top slightly thinner material    expecting  thatll  fine   hot summers   navy striped   pretty  extremely soft washes    wear  tank underneath  bc  armholes  slightly large     part   bra",1,4,0,0,2,0,0,4,1,3
"154","love  fit   sweater   fits   sweatshirt     long    model  hits     hips  ref im  im      colors    cute  comfortable   dressed    runs true  sizeim   small   fits perfectly roomy",1,1,0,0,1,0,0,0,2,3
"155"," colors  vivid  perfectly autumnal   fit   mess     large  waistline curves    front   falls  small pleats   maternityish  waistband  thicker   dress  sat    body   material   cheapish poly   outer dress  made    material   lining        modesty closure      dress   unraveling      returned",0,1,1,0,2,1,0,0,2,3
"156","love  tunic    curvy gal    extra curves   middle     perfect top  accentuating  good  masking  negative  purchased  pink color     gorgeous peachy pink   deeper color    portrayed   picture  found  true  size typically  wear  medium  large depending   structure   medium fit     fitted  top  looser   waist   back  buy    ivory  alas  ",0,3,0,0,5,1,1,6,2,8
"157","loved  green color  cut  super flattering  alas    hte petite ti   bit long   looked   lost unfrotuantely  color  sold   petite ",0,1,0,0,2,1,0,1,1,2
"158","  thought   lace   texture     pattern  regular fabric",1,1,0,1,0,1,0,1,1,1
"159","",0,0,0,0,0,0,0,0,0,0
"160","colors  nice   subtle flowers  bright colors   pattern  fit  nice   fit snugly   dont     give    comfortable  petite length  end   knee  shown       nicer shorter  dont     pay extra  ehm   left   behindmaybe  sale ",0,1,0,0,1,0,0,1,0,2
"161","   sweater     bought     color  pleats make  sweater conform   shape     flattering  wore     dresses  week    felt  bare  work  cooler weather  live   hot climate      weight   cooler months  metallic threads give    bit  flair   grey color    im  size    large fit  ",1,1,1,1,2,1,1,1,1,3
"162","beautiful color great quality  great fit   size   learned  lesson  previous purchases  sized    read  runs small   wear       risk       fits perfectly      waist",1,2,0,1,1,0,0,2,4,2
"163","online     great sweater  ordered  xxsp  found   sweater   wider   middle  pictured  fact im pretty   pinned  shirt   back   picture  make   slimmer   sweater   work       hourglass shape   shirt makes    pounds heavier",0,1,0,0,2,0,0,3,0,3
"164","  worried   item   ordered         picture    wishful thinking       gut  shirt      quality     retailer purchases   seethrough  flimsy  bottom     picture  hangs   odd rumpled   top   flattering     shame   bottom fit nicer    products       wearing  cami    make    qu",0,2,2,1,1,3,0,1,3,2
"165"," skirt   great length  nice piece  fallwinter  love  color  fits   high waisted skirt      purchased   size ",1,0,0,0,1,0,0,0,1,1
"166"," easel caftan  simply amazing  silhouette fits  sizes  shapes  providing  unique dress",1,1,0,0,1,0,1,1,1,2
"167","  today  print  gorgeous   bohemian   dressier dress   chiffon    con side  chiffon   delicate snagged easily     raw edges   waistband needed trimming fresh    package  sz  fit   waist  small   bust  sz  fits bust   big   waist  sz  ankle length    hits  floor  havent decided  ill       alter",2,0,1,1,1,1,0,0,3,1
"168"," waist measures    size    snug fit   buy size   retailer skirts     unbearably tight cute skirt      machine washable   quality  good",0,1,0,0,1,0,1,2,0,2
"169"," love  fabric  color  bought  green    complaint    base  wider   picture shows    fitted   model       shape significantly wider   hips",1,0,0,0,2,0,0,2,1,4
"170","  minimally torn    return   ultimately   back   knit    thin  thought    cozy    normal sweater weight        light  swing effect doesnt     special",0,3,1,1,2,1,1,1,2,3
